,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,LLVM
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-agm,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-autofocusformer,Python
55,ml-autofocusformer-segmentation,Python
56,ml-batchquant,Python
57,ml-behavioral-testing-for-mt,
58,ml-calibration,Jupyter Notebook
59,ml-capsules-inverted-attention-routing,Python
60,ml-cifar-10-faster,Python
61,ml-code-switched-speech-translation,Python
62,ml-codeswitching-translations,
63,ml-collegial-ensembles,Python
64,ml-core,Python
65,ml-covid-mobility,R
66,ml-cread,Python
67,ml-cvnets,Python
68,ml-cvpr2019-swd,Python
69,ml-dab,Python
70,ml-data-parameters,Python
71,ml-delphi,
72,ml-destseg,Python
73,ml-direct2.5,Python
74,ml-dms-dataset,Python
75,ml-dprecs,Jupyter Notebook
76,ml-dr,Python
77,ml-duet,Python
78,ml-entity-deduction-arena,Python
79,ml-entropy-reconstruction,Python
80,ml-envmapnet,Python
81,ml-equivariant-neural-rendering,Jupyter Notebook
82,ml-facelit,Python
83,ml-famae,Python
84,ml-fastvit,Python
85,ml-fct,Python
86,ml-ferret,Python
87,ml-finerecon,Python
88,ml-flair,Jupyter Notebook
89,ml-gaudi,
90,ml-gmpi,Python
91,ml-gsn,Python
92,ml-hd-gist,Python
93,ml-heart-rate-models,Python
94,ml-hierarchical-confusion-matrix,TypeScript
95,ml-hugs,Python
96,ml-hypersim,Python
97,ml-interspeech2022-phi_rtn,
98,ml-jointnet,Python
99,ml-keyframer,JavaScript
100,ml-kge,Python
101,ml-knowledge-conflicts,Python
102,ml-live-pose,
103,ml-llarp,Python
104,ml-lucid-datagen,Python
105,ml-mgie,Python
106,ml-mkqa,Python
107,ml-mobileclip,Python
108,ml-mobileone,Swift
109,ml-mofi,Python
110,ml-multiple-futures-prediction,Python
111,ml-ncg,Python
112,ml-neilf,Python
113,ml-neilfpp,Python
114,ml-neuman,Python
115,ml-no-token-left-behind,Jupyter Notebook
116,ml-np-rasp,Python
117,ml-nvas3d,Python
118,ml-ogen,Python
119,ml-pgdvs,Python
120,ml-planner,Python
121,ml-pointconvformer,Python
122,ml-pointersect,Python
123,ml-probabilistic-attention,Python
124,ml-projunit,Python
125,ml-qrecc,Python
126,ml-quant,Python
127,ml-recurrent-drafter,Python
128,ml-reed,Python
129,ml-rlgrad,Python
130,ml-robust-expert-augmentations,Python
131,ml-rpm-bench,Python
132,ml-sad,Python
133,ml-selfcond,Python
134,ml-shuffling-amplification,Python
135,ml-sigma-reparam,Python
136,ml-spatial-librispeech,
137,ml-spin,Python
138,ml-stable-diffusion,Python
139,ml-stabledreamer,
140,ml-stuttering-events-dataset,Python
141,ml-symphony,Svelte
142,ml-tic-clip,Python
143,ml-tract,Python
144,ml-transcript-translation-consistency-ratings,
145,ml-translate-vis,TypeScript
146,ml-tree-dst,Python
147,ml-tune-mode-convbn,Python
148,ml-upscale,Jupyter Notebook
149,ml-uwac,Python
150,ml-veclip,Jupyter Notebook
151,ml-vfi-smiff,Python
152,ml-vision-transformers-ane,Python
153,openjdk,Java
154,password-manager-resources,JavaScript
155,pfl-research,Jupyter Notebook
156,pkl,Java
157,pkl-evolution,
158,pkl-go,Go
159,pkl-go-examples,Go
160,pkl-intellij,Kotlin
161,pkl-jvm-examples,Groovy
162,pkl-k8s,Kotlin
163,pkl-k8s-examples,
164,pkl-lang.org,JavaScript
165,pkl-neovim,Scheme
166,pkl-package-docs,Kotlin
167,pkl-pantry,Pkl
168,pkl-project-commons,
169,pkl-spring,Java
170,pkl-swift,Swift
171,pkl-swift-examples,Swift
172,pkl-vscode,TypeScript
173,pkl.tmbundle,
174,pytorch-speech-features,Python
175,rules_pkl,Starlark
176,sample-backyard-birds,Swift
177,sample-cloudkit-coredatasync,Swift
178,sample-cloudkit-encryption,Swift
179,sample-cloudkit-privatedb,Swift
180,sample-cloudkit-privatedb-sync,Swift
181,sample-cloudkit-queries,Swift
182,sample-cloudkit-sharing,Swift
183,sample-cloudkit-sync-engine,Swift
184,sample-cloudkit-tooling,JavaScript
185,sample-cloudkit-zonesharing,Swift
186,sample-food-truck,Swift
187,servicetalk,Java
188,swift-3-api-guidelines-review,Swift
189,swift-algorithms,Swift
190,swift-aoc-starter-example,Swift
191,swift-argument-parser,Swift
192,swift-asn1,Swift
193,swift-async-algorithms,Swift
194,swift-async-dns-resolver,Swift
195,swift-atomics,Swift
196,swift-book,Markdown
197,swift-cassandra-client,Swift
198,swift-certificates,Swift
199,swift-clang,C++
200,swift-clang-tools-extra,C++
201,swift-cluster-membership,Swift
202,swift-cmake-examples,CMake
203,swift-collections,Swift
204,swift-collections-benchmark,Swift
205,swift-compiler-rt,C
206,swift-corelibs-foundation,Swift
207,swift-corelibs-libdispatch,C
208,swift-corelibs-xctest,Swift
209,swift-crypto,C
210,swift-distributed-actors,Swift
211,swift-distributed-tracing,Swift
212,swift-distributed-tracing-baggage-core,Swift
213,swift-distributed-tracing-extras,Swift
214,swift-docc,Swift
215,swift-docc-plugin,Swift
216,swift-docc-render,JavaScript
217,swift-docc-render-artifact,
218,swift-docc-symbolkit,Swift
219,swift-driver,Swift
220,swift-embedded-examples,Swift
221,swift-evolution-staging,Swift
222,swift-experimental-string-processing,Swift
223,swift-for-wasm-examples,Swift
224,swift-foundation,Swift
225,swift-foundation-icu,C
226,swift-getting-started-cli,Swift
227,swift-getting-started-package-library,Swift
228,swift-http-structured-headers,Swift
229,swift-http-types,Swift
230,swift-internals,HTML
231,swift-issues,
232,swift-libcxx,C++
233,swift-llbuild,C++
234,swift-llbuild2,Swift
235,swift-lldb,C++
236,swift-llvm,LLVM
237,swift-llvm-bindings,Swift
238,swift-lmdb,C
239,swift-log,Swift
240,swift-markdown,Swift
241,swift-matter-examples,Swift
242,swift-metrics,Swift
243,swift-metrics-extras,Swift
244,swift-migration-guide,Markdown
245,swift-mmio,Swift
246,swift-nio,Swift
247,swift-nio-examples,Swift
248,swift-nio-extras,Swift
249,swift-nio-http2,Swift
250,swift-nio-imap,Swift
251,swift-nio-nghttp2-support,Swift
252,swift-nio-ssh,Swift
253,swift-nio-ssl,C
254,swift-nio-ssl-support,Swift
255,swift-nio-transport-services,Swift
256,swift-nio-zlib-support,Swift
257,swift-numerics,Swift
258,swift-openapi-generator,Swift
259,swift-openapi-runtime,Swift
260,swift-openapi-urlsession,Swift
261,swift-package-registry-compatibility-test-suite,Swift
262,swift-playdate-examples,Swift
263,swift-protobuf,Swift
264,swift-protobuf-plugin,
265,swift-protobuf-test-conformance,
266,swift-sample-distributed-actors-transport,Swift
267,swift-se0270-range-set,Swift
268,swift-se0288-is-power,Swift
269,swift-service-context,Swift
270,swift-service-discovery,Swift
271,swift-standard-library-preview,Swift
272,swift-statsd-client,Swift
273,swift-string-processing-benchmarks,Swift
274,swift-system,Swift
275,swift-testing,Swift
276,swift-tools-support-async,Swift
277,swift-xcode-playground-support,Swift
278,swiftpm-on-llbuild2,Swift
279,tensorflow_macos,Shell
280,tree-sitter-pkl,C
281,turicreate,C++
282,unityplugins,C#
283,VideoFlashingReduction,Mathematica
284,vqg-multimodal-assistant,Python
